[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
,,"2. 해외 체류기간 확인 및 해당여부 안내
   ※ 3개월 이상 지속적으로 해외에 체류한 경우만 해당",,"실례지만, 고객님(피보험자)께서 해외에 머무신 기간이 언제부터 언제까지 이십니까?
그 기간동안 계속 연속해서 해외에 머무신 건가요?",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 구비서류 안내,,먼저 OOO(피보험자)님의 출입국 사실증명서를 팩스로 보내주시면 확인 후에 접수 해드리겠습니다. ,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,4. 환급 방법 안내,,"(계좌 납부건) 환급 받으실 고객님 명의의 계좌번호를 말씀 해주시겠습니까? 
(카드 납부건) 고객님, 카드로 납부한 보험료는 승인 취소 처리가 될 텐데요, 혹시 해당 카드의 승인 취소 처리가 어려운 경우에는 제가 다시 연락 드려서 진행을 도와드리겠습니다. 
(*단, 실손 특약 환급 건의 경우 현금 반환 되므로, 본인명의 계좌 확인)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,5. 처리소요시간 안내,,"보내주실 서류가 확인 되는 대로 접수 진행 해드릴거고요, 처리되는 데 평일기준 14일 정도 걸릴 예정입니다. ",,,이 업무는 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
11,즉시출금,1. 즉시출금 요청 계약건 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"2. 영업보험료 출금 안내 (출금 전 안내 필수)
2-1. 출금계좌(카드) '본인 명의’여부 확인 
본인 명의 계좌(카드,휴대폰) 아닐 경우 가능 범위 확인 
2-2. Black list 검증 대상자의 국적 및 영문명 확인
2-3. 출금계좌(카드) 은행(카드사)명/계좌(카드)번호 확인 
      자동이체 계좌(카드)가 아닌 경우 자동이체 변경 여부 확인",,"2. 즉시 출금할 금액은 영업보험료 00,000원입니다.
(자동이체 할인중인 계약만 출금 시_ 자동이체 할인이 적용되지 않음 안내)
2-1. 계약자님 본인계좌에서 출금 요청하십니까?
2-2.  (내국인인 경우) 당연하시겠지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까? / 영문이름을 말씀해 주시겠습니까? 
2-3. 출금할 은행명과 계좌번호 말씀 부탁 드립니다.
(기 등록된 자동이체 처리 요청 시 : 매월 자동이체 중인 oo은행 ooo으로 끝나는 계좌에서 출금하는데 동의하십니까?)
※자동이체 계좌가 아닌 경우:  지금 요청하신 계좌로 자동이체도 변경해 드릴까요?
※자동이체 카드가 아닌 경우:  지금 요청하신 카드로 자동이체도 변경해 드릴까요?",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"
3-1. 계좌 즉시출금 금결원 녹취 전송멘트
3-2. 휴대폰소액결제 출금은 납입 동의 녹취
",,"3-1 [계좌 RTB건_ 금융결재원 녹취 전송]
즉시출금 확인을 위한 ARS를 연결 해드리겠습니다. 요청하신 정보가 맞으면 1번 동의를 누르신 후 잠시 기다려 주시기 바랍니다. -> ARS연결
※ ARS사용 불가 시 녹취로 대체
   AIA생명에서 출금하는 계좌를 예금주 000님의 00은행, --------번 계좌로 요청하셨습니다. 맞으십니까? 
   (YES 답변 필수)
3-2 [휴대폰소액결제 출금]
1. ooo보험계약의 ___(업무) 관련으로, 납입자 신분확인을 위해 귀하의 성명, 통신사, 휴대폰번호, 생년월일, 성별, 내외국인 구분 정보, 계약자와의 관계 등을 수집, 이용하는 것에 동의하고, 위 정보를 PG사, 통신사에 제공함에 동의하십니까? (YES)
2. 동의하신 사항과 같은 목적으로 귀하의 주민등록번호를 처리하는데 동의하십니까? (YES)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"4. 자동이체 청구중일 경우 이중출금 우려 안내 (이중출금 시 자동반환 안내)
※ 전월보험료만 RTB시 자동이체된 당월분은 반환되지 않음",,"현재 자동이체 계좌로 이미 은행에 출금 요청이 된 상황으로, 잔고가 있을 경우 보험료가 두 번 납부될 우려가 
있습니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,5. 출금 결과와 귀속 월 안내,,00월분 보험료 출금 완료되었습니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
12," 가상계좌 
등록 및 입금",1. 총 가입 건 수 안내 및 해당 계약건 & 입금 목적 확인 ,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,2. 가상계좌 입금 금액 및 계약자 이름 입금 안내,,"입금하실금액은 영업보험료 총 00,000원이며, 계약자님의 성함으로 입금 부탁 드리겠습니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,3. 가상계좌번호 안내,,"가상계좌번호와 입금하실 금액은 고객님 휴대폰에 일림톡 (또는 문자)으로 보내 드리겠습니다.
(등록된 번호로만 발송 가능)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,변경 반영은 언제부터 확인할 수 있나요?
,,4. Black list 검증 대상자의 국적 및 영문명 확인,,"(내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 고객님 국적이 어떻게 되십니까? 실제 거주하시는 곳은 어떻게 되십니까? 영문이름 말씀 부탁 드립니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,5. 자동이체 청구 중일 경우 이중출금 우려 안내,,현재 자동이체 청구중으로 계좌에 잔고있을 경우 이중 출금될 우려가 있습니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,6. 입금처리 안내,,"가상계좌는 안내받은 금액으로만 입금 처리 가능하며, 당일까지만 사용할 수 있는 계좌이기 때문에 익일부터는 가상계좌를 다시 발급 받으셔야 사용하실 수 있습니다. 가상계좌는 ARS 및 AIA+를 통해 쉽게 발급 받아보실 수 있으니 많은 이용 부탁 드립니다. ",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
13, PUL 월 추가 납입,1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"2. 계속보험료 자동 이체 해지 시 월 추가납부도 출금 안됨 안내  
2-1. 당월에 한해 재 청구 가능 안내
2-2. 추가 납입 보험료만은 재 청구 불가 안내  ",,"2. 차 후 자동이체 해지시 월 추가납입보험료도 출금되지 않으니 참고 바랍니다.
2-1. 지정한 이체일에 계속분 보험료 포함하여 출금되지 않은 경우 당월에 한해 추가 이체일에 계속분+추가납입 금액 재 청구 됩니다
2-2. 잔고부족으로 계속분 보험료만 출금된 경우, 월 추가납입 보험료는 재청구 되지 않습니다",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,3. 추가 납입 시 수금비(사업비) 공제 후 적립됨 안내 ,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
14,"PUL/SUL
수시추가 납입",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,2. 추가 납입 방법 안내,,즉시출금 또는 고객님의 입금전용계좌(가상계좌)로 추가납부 가능합니다. 어떻게 납부 하시겠습니까?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"
3. 추가 납입 시 사업비(수금비) 공제 후 적립됨 안내
4. 계좌 즉시출금 시 Black list 검증 대상자의 국적 및 영문명 확인
5. 계좌 즉시출금 시 금결원 녹취 전송멘트",,"3. [계좌 RTB건]
출금 가능한 고객님 명의의 계좌번호와 은행명 말씀 부탁 드릴게요
4. (내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 고객님 국적이 어떻게 되십니까? 실제 거주하시는 곳은 어떻게 되십니까? 영문이름 말씀 부탁 드립니다. 
5. [금융결재원 녹취 전송]
즉시출금 확인을 위한 ARS를 연결 해드리겠습니다. 요청하신 정보가 맞으면 1번 동의를 누르신 후 잠시 기다려 주시기 바랍니다. -> ARS연결
※ ARS사용 불가 시 녹취로 대체
   AIA생명에서 출금하는 계좌를 예금주 000님의 00은행, --------번 계좌로 요청하셨습니다. 맞으십니까? (YES 답변 필수)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
15,"(면대면채널)
VUL 추가 납입",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"2. 수시 or 월 추가 납입 가능 기간 여부 확인 및 추가 가능 금액 확인 안내
",,"추가 납입을 원하는 금액이 어떻게 되십니까? 
(월추가) 언제까지 월추가 납부를 하실 예정이십니까? 
※ 수시, 월 추가 납입 계약건 별 가능 조건 확인 필
※ (월추가) 보험료 납입방법이 계좌 자동이체(계약자 본인 계좌)인 경우에 한해 전화 신청 가능",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,"
3. 추가 납입 신청 및 납입 방법 안내 
4. 계좌 즉시출금 시 Black list 검증 대상자의 국적 및 영문명 확인
5. 계좌 즉시출금 시 금결원 녹취 전송멘트",,"
3. [계좌 RTB건]
출금 가능한 고객님 명의의 계좌번호와 은행명 말씀 부탁 드릴게요
4. (내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 고객님 국적이 어떻게 되십니까? 실제 거주하시는 곳은 어떻게 되십니까? 영문이름 말씀 부탁 드립니다. 
5. [금융결재원 녹취 전송]
즉시출금 확인을 위한 ARS를 연결 해드리겠습니다. 요청하신 정보가 맞으면 1번 동의를 누르신 후 잠시 기다려 주시기 바랍니다. -> ARS연결
※ ARS사용 불가 시 녹취로 대체
   AIA생명에서 출금하는 계좌를 예금주 000님의 00은행, --------번 계좌로 요청하셨습니다. 맞으십니까? (YES 답변 필수)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"6. 계속보험료 자동 이체 해지 시 월 추가납부도 출금 안됨 안내  
6-1. 당월에 한해 재 청구 가능 안내 
6-2. 추가 납입 보험료만은 재 청구 불가 안내  ",,"6.  차 후 자동이체 해지시 월 추가납입보험료도 출금되지 않으니 참고 바랍니다.
6-1. 계속분 보험료와  월추가납입보험료 모두 이체일에 출금되지 않을 경우 해당 월 말까지 다음 이체일에 계속 청구 되겠습니다.
6-2. 잔고부족으로 계속분 보험료만 출금된 경우, 월 추가납입 보험료는 재청구 되지 않습니다",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
